"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
9,"Italy",3,"Christian","Vieri","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
1,"Chelsea",4,"Michael","Essien","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
9,"Italy",3,"Fabio","Cannavaro","Brazil",3,"Mauro","Silva","1997-06-08","Stade de Gerland","Paolo","Maldini","Angelo","Di Livio"
1,"Chelsea",4,"Florent","Malouda","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
3,"France",2,"Didier","Deschamps","Portugal",1,"Luis","Figo","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
4,"Brazil",1,"","Clodoaldo","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
10,"Italy",4,"Roberto","Rosato","West Germany",3,"Sepp","Maier","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
7,"Argentina",2,"Nery","Pumpido","England",1,"Terry","Butcher","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
3,"France",2,"Marcel","Desailly","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
1,"Chelsea",4,"","Alex","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Alvaro","Arbeola","Ryan","Babel"
6,"Milan",3,"Andriy","Shevchenko","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Fernando","Couto","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Samuel","Kuffour","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
5,"West Germany",3,"Werner","Kohlmeyer","Hungary",2,"Mihaly","Lantos","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
3,"France",2,"Thierry","Henry","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Cosmin","Contra","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
5,"West Germany",3,"Josef","Posipal","Hungary",2,"Zoltan","Czibor","1954-07-04","Wankdorf Stadium",NULL,NULL,NULL,NULL
10,"Italy",4,"Giacinto","Facchetti","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
3,"France",2,"Bixente","Lizarazu","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Luis","Garcia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Hernan","Crespo","Liverpool",3,"Sami","Hyypia","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
1,"Chelsea",4,"Frank","Lampard","Liverpool",4,"Yossi","Benayoun","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Roberto","Di Matteo","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
1,"Chelsea",4,"","Alex","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Dino","Baggio","Brazil",3,"Mauro","Silva","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
6,"Milan",3,"","Cafu","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
10,"Italy",4,"Pierluigi","Cera","West Germany",3,"Franz","Beckenbauer","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Bernd","Patzke","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
6,"Milan",3,"Jaap","Stam","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
4,"Brazil",1,"","Jairzinho","England",0,"Geoff","Hurst","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
8,"Manchester United",2,"Nicky","Butt","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
4,"Brazil",1,"","Clodoaldo","England",0,"Tommy","Wright","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
10,"Italy",4,"Sandro","Mazzola","West Germany",3,"Gerd","Muller","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
8,"Manchester United",2,"Ronny","Johnsen","Bayern",1,"Stefan","Effenberg","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Milan","Baros","2005-05-25","Ataturk Olimpiyat Stadyumu","Steve","Finnan","Dietmar","Hamann"
3,"France",2,"Didier","Deschamps","Portugal",1,"","Dimas","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
2,"Liverpool",5,"Danny","Murphy","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
3,"France",2,"Nicolas","Anelka","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Jamie","Carragher","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
3,"France",2,"Zinedine","Zidane","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"","Romario","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
